,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
90,Carutapera,-1.195,-46.02,75.81,92,5.01,99,BR,1619741511
91,Cape Town,-33.9258,18.4232,60.01,82,8.05,20,ZA,1619741512
92,Yellowknife,62.456,-114.3525,28.99,59,13.8,75,CA,1619741512
93,Lázaro Cárdenas,17.9583,-102.2,80.38,71,11.23,85,MX,1619741512
94,Bathsheba,13.2167,-59.5167,77.0,65,11.5,20,BB,1619741513
95,Kirakira,-10.4544,161.9205,84.76,68,8.86,69,SB,1619741513
96,Jamestown,42.097,-79.2353,46.99,100,9.22,90,US,1619741313
97,Clyde,41.3042,-82.9752,53.01,90,10.69,100,US,1619741514
98,Nabire,-3.3667,135.4833,80.69,79,2.19,100,ID,1619741514
99,Fairbanks,64.8378,-147.7164,50.0,46,6.91,90,US,1619741515
100,Laguna,38.421,-121.4238,91.0,12,4.61,1,US,1619741515
101,Tondano,1.3038,124.9112,80.6,83,2.3,20,ID,1619741516
102,Alofi,-19.0595,-169.9187,84.2,79,5.75,75,NU,1619741516
103,Salalah,17.0151,54.0924,82.4,83,6.91,75,OM,1619741517
104,Kapaa,22.0752,-159.319,78.8,61,13.8,20,US,1619741517
105,Kédougou,12.5579,-12.1743,92.79,21,9.57,72,SN,1619741518
106,Marsabit,2.3284,37.9899,66.79,66,6.2,85,KE,1619741518
107,Healesville,-37.65,145.5167,61.0,91,4.0,10,AU,1619741518
108,Carnarvon,-24.8667,113.6333,71.6,83,12.66,19,AU,1619741519
109,Kruisfontein,-34.0033,24.7314,57.0,94,1.01,100,ZA,1619741519
110,Hamilton,39.1834,-84.5333,62.01,72,17.27,90,US,1619741430
111,Bredasdorp,-34.5322,20.0403,48.2,87,2.3,74,ZA,1619741520
112,Mbanza-Ngungu,-5.25,14.8667,69.17,97,0.78,98,CD,1619741520
113,Mahébourg,-20.4081,57.7,77.0,83,10.36,75,MU,1619741520
114,Parga,39.2831,20.3964,60.8,88,3.44,0,GR,1619741521
115,Inhambane,-23.865,35.3833,73.06,79,7.87,0,MZ,1619741521
116,Vaini,-21.2,-175.2,75.2,100,8.05,90,TO,1619741522
117,Drumheller,51.4617,-112.7101,71.6,26,8.05,88,CA,1619741522
118,Acaraú,-2.8856,-40.12,78.03,83,10.58,95,BR,1619741523
119,East London,-33.0153,27.9116,64.27,79,10.18,100,ZA,1619741303
120,Kitimat,54.0524,-128.6534,50.0,96,3.38,100,CA,1619741523
121,Fort Nelson,58.8053,-122.7002,48.2,57,3.44,75,CA,1619741524
122,Neiafu,-18.65,-173.9833,80.6,94,3.44,75,TO,1619741524
123,Kuril'sk,45.2333,147.8833,37.89,93,17.63,100,RU,1619741525
124,Cockburn Town,21.4612,-71.1419,78.8,73,16.11,40,TC,1619741525
125,Cap Malheureux,-19.9842,57.6142,73.99,93,1.99,23,MU,1619741526
126,Laas,46.6166,10.7002,46.99,100,4.61,90,IT,1619741526
127,Ilave,-16.0833,-69.6667,39.06,84,3.94,37,PE,1619741526
128,La Ronge,55.1001,-105.2842,44.6,23,3.44,20,CA,1619741527
129,Kulu,39.0951,33.0799,63.43,41,11.81,78,TR,1619741527
130,Rock Sound,24.9,-76.2,77.43,69,12.84,12,BS,1619741528
131,Lawrenceburg,38.0373,-84.8966,64.99,88,8.05,90,US,1619741528
132,Drochtersen,53.7102,9.3846,44.01,91,1.01,100,DE,1619741529
133,Klaksvík,62.2266,-6.589,37.4,60,8.05,90,FO,1619741529
134,Vila Franca do Campo,37.7167,-25.4333,53.6,71,5.75,20,PT,1619741245
135,Rajo Khanani,24.9841,68.8536,80.13,73,6.93,71,PK,1619741530
136,Korla,41.7597,86.1469,67.95,18,4.79,0,CN,1619741530
137,Butaritari,3.0707,172.7902,83.73,74,13.87,100,KI,1619741531
138,Mount Gambier,-37.8333,140.7667,53.6,94,8.05,0,AU,1619741531
139,Tual,-5.6667,132.75,82.67,72,5.82,100,ID,1619741532
140,Namatanai,-3.6667,152.4333,84.78,67,2.86,79,PG,1619741532
141,Port-Gentil,-0.7193,8.7815,78.8,89,2.3,75,GA,1619741533
142,San Patricio,28.017,-97.5169,82.99,83,9.22,40,US,1619741533
143,São Filipe,14.8961,-24.4956,72.77,77,7.56,51,CV,1619741533
144,São João da Barra,-21.6403,-41.0511,69.3,83,11.92,28,BR,1619741534
145,Ust-Kuyga,70.0167,135.6,26.33,89,4.47,90,RU,1619741534
146,Puerto Baquerizo Moreno,-0.9,-89.6,77.0,83,14.97,40,EC,1619741535
147,Tuktoyaktuk,69.4541,-133.0374,28.4,69,13.8,1,CA,1619741535
148,San Rafael,-34.6177,-68.3301,66.0,46,9.17,0,AR,1619741393
149,General Roca,-39.0333,-67.5833,60.8,94,4.52,0,AR,1619741536
150,Tura,25.5198,90.2201,77.18,41,3.94,4,IN,1619741536
151,Morant Bay,17.8815,-76.4093,82.4,74,23.02,20,JM,1619741537
152,Tutóia,-2.7619,-42.2744,76.93,87,8.68,97,BR,1619741537
153,Tynda,55.1667,124.7167,32.72,90,4.59,100,RU,1619741537
154,Dunedin,-45.8742,170.5036,53.01,90,15.99,100,NZ,1619741294
155,Sakakah,29.9697,40.2064,71.6,16,4.61,0,SA,1619741538
156,Taoudenni,22.6783,-3.9836,90.55,21,22.91,72,ML,1619741538
157,Alice Springs,-23.7,133.8833,60.8,33,9.26,0,AU,1619741539
158,Pangnirtung,66.1451,-65.7125,35.24,84,2.59,100,CA,1619741539
159,Farafangana,-22.8167,47.8333,72.01,90,4.7,40,MG,1619741540
160,Ullapool,57.8987,-5.1604,37.0,60,3.0,33,GB,1619741540
161,Aklavik,68.2191,-135.0107,39.2,41,5.75,63,CA,1619741541
162,Ixtapa,20.7,-105.2,80.6,74,13.8,1,MX,1619741541
163,Kwekwe,-18.9281,29.8149,62.74,65,4.52,30,ZW,1619741541
164,Boundiali,9.5217,-6.4869,82.47,57,6.78,54,CI,1619741542
165,Bilma,18.6853,12.9164,85.57,7,9.69,0,NE,1619741542
166,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.4,61,4.47,20,RU,1619741543
167,Havre-St-Pierre,50.2334,-63.5986,39.2,87,5.75,90,CA,1619741543
168,Qaanaaq,77.484,-69.3632,26.89,66,8.93,95,GL,1619741544
169,Krasnosel'kup,65.7,82.4667,30.96,94,17.52,99,RU,1619741544
170,Bandarbeyla,9.4942,50.8122,82.71,77,4.14,54,SO,1619741545
171,Zuwārah,32.9312,12.082,74.98,48,8.1,34,LY,1619741545
172,Banda Aceh,5.5577,95.3222,80.02,79,2.75,87,ID,1619741545
173,Olden,61.8364,6.8064,30.99,86,1.01,10,NO,1619741546
174,Severo-Kuril'sk,50.6789,156.125,38.1,83,5.99,33,RU,1619741546
175,Esperance,-33.8667,121.9,57.2,100,10.36,90,AU,1619741547
176,Mana,5.6592,-53.7767,75.94,90,9.1,62,GF,1619741547
177,Pevek,69.7008,170.3133,20.21,89,7.7,100,RU,1619741548
178,Shache,38.4167,77.2406,63.77,11,5.55,1,CN,1619741548
179,Bambous Virieux,-20.3428,57.7575,77.0,83,12.66,75,MU,1619741548
180,Mamburao,13.25,120.6667,83.97,63,1.59,64,PH,1619741549
181,Lagoa,39.05,-27.9833,56.77,62,6.55,100,PT,1619741549
182,Shahreza,32.0339,51.8794,61.25,45,2.24,54,IR,1619741550
183,Muros,42.7762,-9.0603,46.0,88,10.65,2,ES,1619741550
184,Northam,51.0333,-4.2167,37.99,82,2.77,33,GB,1619741550
185,Sur,22.5667,59.5289,85.73,40,4.99,95,OM,1619741551
186,Tasiilaq,65.6145,-37.6368,32.0,86,10.36,75,GL,1619741551
187,Sekoma,-24.4,23.8833,62.82,78,10.8,85,BW,1619741552
188,Yar-Sale,66.8333,70.8333,25.12,96,7.43,100,RU,1619741552
189,Thérmi,40.5471,23.0197,62.01,94,6.91,0,GR,1619741553
190,Mackay,-21.15,149.2,75.0,83,10.36,40,AU,1619741553
191,Guasdualito,7.2424,-70.7324,77.0,88,3.44,100,VE,1619741553
192,Porto Empedocle,37.2934,13.5264,62.04,62,6.02,20,IT,1619741554
193,Souillac,-20.5167,57.5167,77.0,83,12.66,75,MU,1619741554
194,Porto Franco,-6.3383,-47.3992,74.28,90,2.13,84,BR,1619741555
195,Rio Grande,-32.035,-52.0986,51.01,91,6.69,0,BR,1619741555
196,Kenai,60.5544,-151.2583,45.0,76,20.71,90,US,1619741469
197,Itaituba,-4.2761,-55.9836,73.96,96,0.31,86,BR,1619741556
198,Faya,18.3851,42.4509,62.6,77,5.59,40,SA,1619741556
199,Baykit,61.67,96.37,35.71,82,5.41,84,RU,1619741556
200,Kyaikkami,16.08,97.5675,78.82,79,6.13,100,MM,1619741557
201,Qena,26.1615,32.7183,80.6,21,5.17,0,EG,1619741557
202,Hong Kong,22.2855,114.1577,75.0,84,1.99,91,HK,1619741558
203,Canavieiras,-15.675,-38.9472,74.14,87,6.69,44,BR,1619741558
204,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,61.0,78,5.88,0,AR,1619741558
205,Yulara,-25.2406,130.9889,60.8,36,8.05,4,AU,1619741559
206,Quatre Cocos,-20.2078,57.7625,77.0,83,10.36,75,MU,1619741559
207,Amnat Charoen,15.9167,104.75,73.83,82,6.58,100,TH,1619741559
208,Adrar,20.5022,-10.0711,80.87,29,12.1,38,MR,1619741560
209,Yārāda,17.65,83.2667,77.0,94,5.75,40,IN,1619741560
210,Suhum,6.0409,-0.45,82.4,83,9.22,20,GH,1619741561
211,Port Hardy,50.6996,-127.4199,53.6,87,5.75,90,CA,1619741561
212,Ilulissat,69.2167,-51.1,35.6,69,3.44,99,GL,1619741561
213,Morón,-34.6534,-58.6198,64.99,78,1.01,0,AR,1619741516
214,Jutaí,-5.1833,-68.9,72.77,98,2.42,89,BR,1619741562
215,Smalininkai,55.0735,22.5793,50.27,95,10.78,100,LT,1619741562
216,Iqaluit,63.7506,-68.5145,33.01,100,5.75,90,CA,1619741563
217,Cherskiy,68.75,161.3,21.88,87,12.57,100,RU,1619741564
218,Longyearbyen,78.2186,15.6401,19.4,68,11.5,40,SJ,1619741564
219,Lucea,18.451,-78.1736,78.01,88,8.05,20,JM,1619741565
220,Volta Redonda,-22.5231,-44.1042,69.8,83,3.44,75,BR,1619741565
221,Bismarck,46.8083,-100.7837,69.8,23,12.66,1,US,1619741514
222,Kirkuk,35.4681,44.3922,73.67,31,4.38,1,IQ,1619741566
223,Conceição do Araguaia,-8.2578,-49.2647,75.2,94,4.61,0,BR,1619741566
224,Kavieng,-2.5744,150.7967,84.47,69,6.62,57,PG,1619741566
225,Marshall,34.3834,-86.3333,73.99,85,8.28,98,US,1619741567
226,Bonavista,48.6499,-53.1147,41.0,87,3.44,88,CA,1619741567
227,Castro,-24.7911,-50.0119,51.66,94,5.44,6,BR,1619741568
228,Norman Wells,65.282,-126.8329,46.4,31,8.05,20,CA,1619741568
229,George Town,5.4112,100.3354,79.0,88,3.44,20,MY,1619741486
230,Ponta do Sol,32.6667,-17.1,55.99,72,1.01,47,PT,1619741568
231,Dingle,10.9995,122.6711,82.08,53,4.65,29,PH,1619741569
232,Ubari,26.5921,12.7805,85.1,11,10.18,2,LY,1619741569
233,Bam,29.106,58.357,76.06,28,5.59,88,IR,1619741570
234,Hervey Bay,-25.2986,152.8535,70.0,89,3.0,67,AU,1619741570
235,Mehamn,71.0357,27.8492,28.96,62,22.75,100,NO,1619741570
236,Ponta Delgada,37.7333,-25.6667,53.6,71,5.75,20,PT,1619741571
237,Asarganj,25.15,86.6833,82.29,46,4.76,3,IN,1619741571
238,San Cristobal,7.7669,-72.225,75.2,100,3.44,75,VE,1619741572
239,Sept-Îles,50.2001,-66.3821,45.0,65,3.44,75,CA,1619741572
240,Vao,-22.6667,167.4833,75.02,55,20.11,77,NC,1619741572
241,Morwell,-38.2333,146.4,61.0,81,1.66,21,AU,1619741573
242,Aksu,41.1231,80.2644,64.45,17,5.37,0,CN,1619741573
243,Vardø,70.3705,31.1107,30.79,90,18.68,100,NO,1619741574
244,Löningen,52.7333,7.7667,45.0,93,3.44,100,DE,1619741574
245,Vilya,55.2456,42.2089,37.29,94,5.59,68,RU,1619741574
246,Vysokogornyy,50.1167,139.15,35.76,99,2.01,100,RU,1619741575
247,Ust-Nera,64.5667,143.2,35.73,95,2.1,100,RU,1619741575
248,Tazmalt,36.3868,4.3989,58.59,68,4.0,45,DZ,1619741576
249,Lovozero,68.005,35.0117,24.26,92,7.2,100,RU,1619741576
250,Opuwo,-18.0607,13.84,65.7,52,3.78,19,NA,1619741577
251,Los Llanos de Aridane,28.6585,-17.9182,64.4,77,5.75,75,ES,1619741577
252,Port Lincoln,-34.7333,135.8667,68.47,44,11.25,28,AU,1619741577
253,Kiryat Gat,31.61,34.7642,64.4,77,4.61,0,IL,1619741463
254,Praia da Vitória,38.7333,-27.0667,60.8,63,7.54,20,PT,1619741578
255,Makakilo City,21.3469,-158.0858,82.4,54,8.05,90,US,1619741578
256,Paulínia,-22.7611,-47.1542,64.99,77,16.11,0,BR,1619741579
257,Cabo San Lucas,22.8909,-109.9124,79.0,36,13.8,1,MX,1619741358
258,Alghero,40.5589,8.3181,50.0,100,3.44,0,IT,1619741579
259,Paraná,-31.732,-60.5238,64.99,65,1.99,0,AR,1619741580
260,Waipawa,-41.4122,175.5153,64.4,68,18.41,37,NZ,1619741580
261,Roald,62.5833,6.1333,39.2,75,14.97,13,NO,1619741581
262,Rawson,-43.3002,-65.1023,63.9,58,3.94,99,AR,1619741427
263,Zhangaözen,43.3,52.8,54.28,68,9.28,79,KZ,1619741581
264,Luganville,-15.5333,167.1667,81.9,66,13.65,81,VU,1619741582
265,Clyde River,70.4692,-68.5914,24.8,100,14.97,90,CA,1619741582
266,Coyhaique,-45.5752,-72.0662,59.0,58,9.22,40,CL,1619741582
267,Qidong,31.8128,121.6561,71.01,64,1.99,1,CN,1619741583
268,Preston,53.7667,-2.7167,43.0,86,4.79,84,GB,1619741584
269,Nador,35.174,-2.9287,62.6,59,5.75,0,MA,1619741584
270,Kailāras,26.3167,77.6167,84.99,17,5.28,46,IN,1619741585
271,Cayenne,4.9333,-52.3333,78.01,94,4.09,0,GF,1619741585
272,Manavālakurichi,8.1333,77.3,84.2,89,3.44,75,IN,1619741585
273,Saint Anthony,45.0205,-93.218,66.2,25,18.41,20,US,1619741586
274,Mar del Plata,-38.0023,-57.5575,64.4,77,8.05,0,AR,1619741586
275,Uray,60.1247,64.7758,34.3,86,9.86,40,RU,1619741587
276,Ostrovnoy,68.0531,39.5131,24.17,85,13.49,94,RU,1619741587
277,Salta,-24.7859,-65.4117,57.99,82,4.61,20,AR,1619741428
278,Severo-Yeniseyskiy,60.3725,93.0408,33.71,91,10.29,100,RU,1619741588
279,Upata,8.0086,-62.3989,75.0,85,3.0,100,VE,1619741588
280,Kinkala,-4.3614,14.7644,77.0,94,2.3,20,CG,1619741589
281,Khuzhir,53.1939,107.3397,29.79,76,1.59,11,RU,1619741589
282,Burnie,-41.0667,145.9167,55.0,92,1.01,58,AU,1619741590
283,Panzhihua,26.5851,101.7128,66.11,50,1.81,13,CN,1619741590
284,Paamiut,61.994,-49.6678,36.14,86,0.69,2,GL,1619741590
285,Teacapan,22.55,-105.75,78.12,58,9.71,0,MX,1619741591
286,Saint George,37.1041,-113.5841,87.01,12,10.36,1,US,1619741591
287,Pesnica pri Mariboru,46.6069,15.6767,59.0,72,11.5,100,SI,1619741592
288,Kuytun,54.3419,101.5036,33.01,93,7.87,100,RU,1619741592
289,Carauari,-4.8828,-66.8958,73.35,98,2.08,92,BR,1619741592
290,Rudnogorsk,57.2639,103.7519,31.86,76,2.39,37,RU,1619741593
291,Tibati,6.4667,12.6333,66.06,90,1.59,99,CM,1619741593
292,Bengkulu,-3.8004,102.2655,74.95,92,4.83,95,ID,1619741594
293,Sal Rei,16.1833,-22.9167,71.6,73,12.66,40,CV,1619741594
294,Baruun-Urt,46.6806,113.2792,34.81,45,7.25,54,MN,1619741594
295,Khor,47.8861,134.9464,50.9,50,12.03,9,RU,1619741595
296,Nueva Loja,0.0847,-76.8828,71.85,97,2.46,86,EC,1619741595
297,Otradnoye,59.7775,30.8181,32.0,69,1.88,0,RU,1619741596
298,Barra de Tecoanapa,16.5167,-98.75,82.81,68,11.36,90,MX,1619741596
299,Praia,14.9215,-23.5087,71.6,73,19.57,40,CV,1619741597
300,Solwezi,-12.1688,26.3894,65.57,84,3.76,99,ZM,1619741597
301,Kaitangata,-46.2817,169.8464,51.42,90,6.91,100,NZ,1619741597
302,Oga,46.4631,10.347,53.01,100,2.3,90,IT,1619741598
303,Wenling,28.3669,121.36,70.0,60,6.85,0,CN,1619741598
304,Arlit,18.7369,7.3853,87.28,8,6.78,18,NE,1619741599
305,Mwense,-10.3845,28.698,66.42,93,2.95,91,ZM,1619741599
306,Faanui,-16.4833,-151.75,81.68,72,6.89,74,PF,1619741599
307,Dneprovskaya,45.6236,38.8081,57.0,89,5.01,71,RU,1619741600
308,Colesberg,-30.72,25.0972,52.5,77,12.95,100,ZA,1619741600
309,Loandjili,-4.7561,11.8578,80.6,89,8.05,75,CG,1619741601
310,Lingyuan,41.24,119.4011,48.58,15,3.85,48,CN,1619741601
311,Pervomayskiy,53.2485,40.2871,44.01,50,8.79,80,RU,1619741602
312,Kudahuvadhoo,2.6708,72.8944,82.98,72,3.6,11,MV,1619741602
313,Mchinji,-13.7984,32.8802,61.12,97,3.0,11,MW,1619741603
314,Kerman,30.2832,57.0788,68.07,34,5.75,99,IR,1619741603
315,Suez,29.9737,32.5263,74.41,32,9.22,2,EG,1619741604
316,Huarmey,-10.0681,-78.1522,68.68,80,11.01,1,PE,1619741604
317,Sotouboua,8.5667,0.9833,77.85,67,4.41,100,TG,1619741604
318,Swan Hill,-35.3378,143.5544,66.87,37,6.76,0,AU,1619741437
319,Tuatapere,-46.1333,167.6833,54.0,77,15.01,86,NZ,1619741605
320,Yumen,40.2833,97.2,62.91,14,5.75,45,CN,1619741605
321,Province of Mantua,45.1667,10.7833,57.99,95,3.0,82,IT,1619741606
322,Santa Rosa,14.3122,121.1114,86.0,74,5.75,40,PH,1619741606
323,Tiksi,71.6872,128.8694,31.51,81,6.33,93,RU,1619741607
324,Vestmannaeyjar,63.4427,-20.2734,43.5,80,6.96,98,IS,1619741607
325,Mayo,38.8876,-76.5119,80.6,50,13.18,40,US,1619741608
326,Mizque,-17.941,-65.3402,58.15,77,3.76,88,BO,1619741608
327,Neuquén,-38.9516,-68.0591,60.8,94,2.77,0,AR,1619741360
328,Katherine,-14.4667,132.2667,80.6,61,5.75,9,AU,1619741609
329,Lethem,3.3803,-59.7968,77.97,80,7.49,68,GY,1619741609
330,Linjiang,41.8069,126.9078,53.04,42,0.96,48,CN,1619741610
331,Erenhot,43.6475,111.9767,44.15,17,12.01,99,CN,1619741610
332,Kodinsk,58.6881,99.1844,35.6,76,4.09,25,RU,1619741610
333,Camacha,33.0833,-16.3333,60.8,67,10.36,40,PT,1619741611
334,Bandar,2.05,99.75,72.68,99,2.08,100,ID,1619741611
335,Nemuro,43.3236,145.575,39.2,100,13.8,75,JP,1619741612
336,Raahe,64.6833,24.4833,35.6,69,5.75,0,FI,1619741612
337,Mālpura,26.2833,75.3833,83.75,27,10.31,50,IN,1619741613
338,Thunder Bay,48.4001,-89.3168,57.2,35,12.66,75,CA,1619741518
339,Pimenta Bueno,-11.6725,-61.1936,72.99,81,5.14,100,BR,1619741613
340,Mount Isa,-20.7333,139.5,75.2,53,11.5,3,AU,1619741614
341,Omboué,-1.5746,9.2618,78.73,87,2.59,100,GA,1619741614
342,Dongsheng,39.8161,109.9776,45.16,52,30.0,49,CN,1619741615
343,Turka,49.1541,23.0297,51.01,81,7.85,86,UA,1619741615
344,Tlacotalpan,18.6167,-95.6667,91.0,50,13.91,49,MX,1619741615
345,Biloela,-24.4167,150.5,74.82,52,13.09,89,AU,1619741616
346,Halifax,44.6453,-63.5724,51.01,81,6.91,99,CA,1619741530
347,Roblin,51.23,-101.3565,46.35,31,12.01,65,CA,1619741616
348,Nizhniy Odes,63.6445,54.856,29.37,66,3.47,79,RU,1619741617
349,Leningradskiy,69.3833,178.4167,27.14,84,14.88,100,RU,1619741617
350,Jega,12.2175,4.3792,88.66,15,4.29,53,NG,1619741618
351,Caucayá,-0.1934,-74.7819,72.28,97,2.53,73,CO,1619741618
352,Japura,-0.3167,102.35,73.53,98,1.45,100,ID,1619741618
353,Yokadouma,3.5167,15.05,68.47,97,2.17,89,CM,1619741619
354,Manicoré,-5.8092,-61.3003,75.2,100,2.3,0,BR,1619741619
355,Montepuez,-13.1256,38.9997,67.95,98,2.86,43,MZ,1619741620
